Id,Area,Bedrooms,Bathrooms,Floors,YearBuilt,Location,Condition,Garage,Price
1,5785,10.0,10.0,1,1960.0,Downtown,,No,971345
2,1080,2.0,2.0,1,2005.0,Rural,Poor,Detached,51249
3,1186,3.0,1.0,1,2020.0,Downtown,Excellent,Yes,489549
4,3752,7.0,7.0,2,2006.0,Urban,Good,Yes,1139063
5,15000,12.0,12.0,4,1963.0,Urban,,Detached,3745293
6,1101,1.0,2.0,1,1970.0,Downtown,Poor,No,42331
7,3389,5.0,5.0,3,1992.0,Suburban,Fair,Attached,549973
8,2649,6.0,6.0,4,2003.0,Urban,Good,Attached,1274210
9,5835,8.0,10.0,3,2019.0,Urban,Good,No,1676468
10,4924,8.0,7.0,4,1990.0,Urban,Fair,No,862223
11,1297,3.0,3.0,1,,Urban,Excellent,No,534868
12,3612,8.0,8.0,1,1999.0,Urban,Excellent,Yes,1128757
13,1077,2.0,3.0,1,1983.0,Urban,Good,No,129306
14,460,3.0,2.0,1,2003.0,Downtown,Excellent,No,178152
15,1043,3.0,2.0,1,2016.0,Urban,Good,No,171154
16,3551,7.0,6.0,3,1988.0,Urban,Good,Attached,861747
17,7213,12.0,12.0,4,2012.0,Suburban,,Detached,2863316
18,4124,8.0,8.0,1,2010.0,Downtown,Fair,No,893058
19,3086,6.0,5.0,4,1990.0,Suburban,Fair,Attached,628235
20,5100,8.0,10.0,4,2014.0,Suburban,Excellent,Yes,983986
21,3219,3.0,5.0,2,2007.0,Urban,Poor,Yes,312952
22,4111,5.0,6.0,3,2018.0,Urban,Good,No,1075260
23,4335,6.0,5.0,3,1962.0,Urban,Fair,Attached,288664
24,8075,12.0,12.0,4,2016.0,Urban,Good,No,3589968
25,4226,5.0,6.0,4,1959.0,Urban,Poor,Detached,587026
26,8157,12.0,12.0,4,1965.0,Urban,Poor,Attached,1757550
27,3258,6.0,7.0,3,1976.0,Urban,Excellent,Yes,951412
28,6175,12.0,12.0,3,2014.0,Urban,Good,Detached,1754924
29,2633,4.0,4.0,2,1997.0,Urban,Good,No,513048
30,1870,2.0,2.0,1,1954.0,Downtown,Poor,Yes,74906
31,1008,2.0,2.0,1,1984.0,Urban,Fair,Yes,71363
32,4045,7.0,6.0,4,1987.0,Rural,Fair,Detached,562164
33,6615,12.0,12.0,3,2013.0,Downtown,Fair,Yes,3353813
34,5904,9.0,10.0,4,1978.0,Rural,Excellent,Yes,2116038
35,7493,12.0,12.0,4,2009.0,Urban,Excellent,Attached,3714196
36,1099,3.0,2.0,2,2019.0,Rural,Good,Detached,159788
37,605,2.0,1.0,1,2011.0,Urban,Good,No,74614
38,6781,12.0,12.0,4,2022.0,Urban,Good,Attached,5000000
39,4055,7.0,8.0,4,1995.0,Urban,Good,Attached,1184649
40,15000,12.0,12.0,4,1991.0,Suburban,Fair,Attached,1857956
41,1146,1.0,1.0,7,1978.0,Urban,Excellent,No,261839
42,15000,,12.0,4,1963.0,Rural,Fair,Detached,3086347
43,1440,2.0,3.0,1,1968.0,Downtown,Poor,No,78792
44,1214,2.0,1.0,1,2015.0,Rural,Good,Attached,225900
45,15000,12.0,12.0,3,2011.0,Urban,Excellent,Detached,5000000
46,11406,12.0,12.0,4,1996.0,Suburban,Good,Attached,3437529
47,3013,4.0,3.0,2,1980.0,Urban,Fair,Yes,169470
48,1115,4.0,3.0,1,1960.0,Downtown,Fair,No,301902
49,2516,5.0,5.0,1,1990.0,Downtown,Fair,No,352170
50,4124,7.0,7.0,4,1977.0,Urban,Good,Attached,1405352
51,2258,4.0,4.0,1,2012.0,Downtown,Excellent,No,840809
52,15000,12.0,12.0,4,1976.0,Rural,Good,Detached,3070609
53,5582,11.0,8.0,1,1982.0,Downtown,Poor,Detached,691771
54,4615,6.0,7.0,4,1953.0,Urban,Good,Attached,828155
55,2177,1.0,2.0,1,1983.0,Urban,Good,Yes,208461
56,1201,2.0,2.0,5,1945.0,Urban,Poor,Attached,162583
57,5320,8.0,10.0,2,2013.0,Downtown,Excellent,Attached,3019285
58,3402,7.0,8.0,2,1992.0,Suburban,Fair,Detached,569899
59,3247,5.0,5.0,1,1995.0,Downtown,Excellent,No,1140473
60,2466,3.0,4.0,1,,Urban,Good,Attached,711989
61,3506,5.0,6.0,1,1957.0,Downtown,Poor,No,297162
